oem,model,modelYear,Registration Year,Mileage,Fuel Type,Transmission,ownerNo,price,Gear Box,city,km,Safety,Interior,Exterior,Insurance Validity,bt
8,53,2009,2009.0,20.36,3,1,1,265000.0,5.0,0,50000.0,1.9148936170212765,3.5294117647058827,0.3846153846153846,2,0
13,90,2018,2018.0,22.0,3,0,2,645000.0,5.0,0,40000.0,6.170212765957447,7.058823529411765,3.4615384615384617,2,3
13,89,2020,2020.0,21.21,3,1,1,620000.0,5.0,0,80000.0,5.957446808510639,6.470588235294118,3.8461538461538463,2,0
15,62,2022,2022.0,15.43,3,1,1,1470000.0,5.0,0,20000.0,8.085106382978722,5.882352941176471,8.461538461538462,2,4
8,36,2010,2010.0,13.2,0,1,1,220000.00000000003,5.0,0,70000.0,2.5531914893617023,3.5294117647058827,1.9230769230769236,2,3
19,112,2020,2020.0,21.74,3,1,1,415000.00000000006,5.0,0,40000.0,4.468085106382979,4.11764705882353,3.076923076923077,2,0
7,33,2016,2016.0,18.7,3,1,1,610000.0,5.0,0,63797.0,4.468085106382979,6.470588235294118,4.230769230769231,0,0
8,43,2018,2018.0,18.9,3,1,2,560000.0,5.0,0,60216.0,4.680851063829787,4.11764705882353,2.6923076923076925,0,0
13,73,2015,2015.0,23.95,3,0,2,425000.0,5.0,0,10000.0,3.8297872340425534,4.705882352941177,1.9230769230769236,2,0
13,74,2016,2016.0,21.4,3,1,1,686000.0,5.0,0,38153.0,5.531914893617022,6.470588235294118,4.615384615384615,0,0
13,89,2015,2015.0,22.38,3,1,1,517000.0,5.0,0,76485.0,5.319148936170214,3.5294117647058827,2.307692307692308,0,0
